GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203484-203932-203999-1627750-1629008-,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,48,37,11,0.771,958.0,124.4,125.9,111.6,112.3,12.8,13.6,0.646,2.7,21.6,0.32,0.749,0.543,0.117,0.597,0.626,98.2,97.39,81.15,1952,0.57,3,2,15844,5057,1,4531,8753,5633,6593,1796,4329,5615,7134,5402,8726,5427,5607,11690,5872,2875250
Lineups,-1628983-1629652-1630581-1631096-1631114-,S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,1610612760,OKC,63,46,17,0.73,799.0,119.3,119.8,109.1,109.5,10.2,10.2,0.639,2.65,21.1,0.217,0.697,0.475,0.111,0.589,0.618,103.9,103.48,86.23,1718,0.55,1,1,15890,5292,2,5495,8442,5913,6652,1862,4570,7505,7785,8687,8324,5547,5909,8767,6250,2397785
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,45,23,22,0.511,754.0,110.8,112.2,111.7,111.7,-0.9,0.4,0.662,2.24,20.0,0.256,0.744,0.505,0.125,0.541,0.569,100.8,100.16,83.47,1570,0.499,5,18,15896,6303,3,6424,8695,6661,6514,2308,4884,6417,7144,6082,9334,6659,7223,10464,7492,2262135
Lineups,-203084-1627734-1628368-1628989-1631099-,H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,1610612758,SAC,46,27,19,0.587,669.0,118.8,119.9,113.3,113.9,5.5,6.1,0.68,2.73,22.1,0.22,0.784,0.498,0.115,0.594,0.614,104.0,103.33,86.11,1436,0.515,4,11,15895,6173,4,5492,8980,6292,5434,1789,4211,7488,6048,8376,8676,5454,6072,8848,6907,2006820
Lineups,-201144-203497-1626157-1630162-1630183-,M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,1610612750,MIN,45,31,14,0.689,641.0,116.3,118.7,110.2,110.8,6.2,7.9,0.619,1.74,19.5,0.29,0.733,0.527,0.156,0.584,0.618,98.4,97.12,80.93,1300,0.547,5,5,15879,5373,5,5579,8574,6140,6924,3756,5906,5927,7257,5765,10486,5588,5896,11786,6288,1922410
Lineups,-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,1610612738,BOS,37,28,9,0.757,623.0,120.8,120.3,108.7,109.4,12.0,11.0,0.609,2.21,19.7,0.25,0.734,0.513,0.123,0.595,0.627,101.4,101.31,84.43,1317,0.563,15,8,15795,5068,6,5248,8417,5866,6999,2322,5856,7183,7212,6008,8907,5448,5579,9916,5980,1868395
Lineups,-201572-203081-203114-203507-1627736-,B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,1610612749,MIL,39,25,14,0.641,599.0,122.3,122.0,106.9,106.9,15.5,15.1,0.619,2.44,20.3,0.241,0.756,0.523,0.115,0.604,0.63,104.2,104.32,86.94,1302,0.581,13,15,15879,5943,7,5129,8135,5512,6911,2112,4855,7211,6339,5849,8677,5181,5527,8354,5661,1795815
Lineups,-201935-202331-202695-1627826-1629611-,J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,1610612746,LAC,41,28,13,0.683,593.0,119.1,119.5,109.5,109.5,9.7,10.0,0.625,2.08,19.7,0.293,0.724,0.522,0.134,0.581,0.613,94.8,94.64,78.86,1170,0.554,9,8,15875,5380,8,5505,8430,5978,6901,2414,5840,5913,7349,5880,9572,5773,6084,12720,6176,1777980
Lineups,-1626145-1628398-1629655-1629673-1630166-,T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,1610612764,WAS,42,9,33,0.214,577.0,113.7,114.9,115.0,116.0,-1.3,-1.1,0.645,2.48,20.9,0.225,0.685,0.465,0.118,0.563,0.588,106.0,104.96,87.47,1249,0.493,8,164,15901,8906,9,6033,9275,8359,6596,2096,4673,7361,7929,8898,8809,6116,6741,8044,7545,1729975
Lineups,-201142-203078-203994-1626164-1628960-,K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen,1610612756,PHX,35,23,12,0.657,503.0,123.4,124.5,113.5,113.4,9.9,11.1,0.669,2.31,22.5,0.268,0.759,0.527,0.14,0.626,0.647,101.2,100.8,84.0,1051,0.545,20,18,15864,5927,10,4909,8946,5860,5465,2245,3871,6304,6319,5768,9685,4623,5154,10170,6345,1508640
Lineups,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,25,15,10,0.6,444.0,113.2,113.6,107.3,107.2,5.8,6.4,0.702,2.64,22.1,0.176,0.746,0.48,0.116,0.571,0.599,102.5,102.35,85.29,949,0.541,40,41,15824,6018,12,6229,8180,6269,5241,1864,4218,8188,7139,8598,8707,6024,6466,9401,6410,1331710
Lineups,-202704-203484-203932-203999-1629008-,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,1610612743,DEN,55,37,18,0.673,444.0,112.9,111.1,109.1,105.3,3.8,5.8,0.707,2.39,21.0,0.264,0.783,0.518,0.125,0.548,0.578,102.2,104.85,87.38,979,0.523,2,2,15893,5382,11,6497,8000,6299,5217,2151,4651,6352,6050,5937,8925,6516,7009,8096,6780,1332140
Lineups,-201942-202696-1627936-1629632-1630245-,D. DeRozan - N. Vucevic - A. Caruso - C. White - A. Dosunmu,1610612741,CHI,30,15,15,0.5,433.0,107.5,105.7,108.0,108.5,-0.4,-2.8,0.676,2.33,19.4,0.199,0.707,0.463,0.113,0.52,0.562,100.0,100.63,83.86,912,0.505,29,41,15886,6304,13,7140,8307,8485,5452,2241,5927,8047,7658,8922,8653,7012,7509,10234,7078,1299995
Lineups,-202685-203468-1627742-1629627-1630529-,J. Valančiūnas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,1610612740,NOP,41,25,16,0.61,424.0,115.3,115.2,115.6,116.2,-0.2,-1.1,0.647,2.1,20.5,0.282,0.76,0.527,0.139,0.574,0.599,103.0,102.78,85.65,909,0.508,9,15,15888,6016,14,6009,9282,8347,6577,2405,4814,6164,6306,5764,9657,5877,6465,9261,7040,1270775
Lineups,-1630170-1630200-1630577-1631110-1641705-,D. Vassell - T. Jones - J. Champagnie - J. Sochan - V. Wembanyama,1610612759,SAS,37,10,27,0.27,404.0,113.6,113.8,111.0,110.5,2.6,3.3,0.77,2.23,22.8,0.258,0.766,0.516,0.148,0.569,0.6,103.1,103.29,86.08,872,0.53,15,128,15899,8699,15,6210,8546,6483,4269,2310,3791,6413,6252,5956,10258,6047,6454,8863,6632,1212185
Lineups,-2544-203076-1626156-1629060-1630559-,L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,1610612747,LAL,25,19,6,0.76,389.0,116.8,116.0,110.3,110.5,6.5,5.5,0.691,2.27,22.9,0.211,0.754,0.512,0.142,0.61,0.631,102.4,102.6,85.5,837,0.556,40,26,15552,5067,16,5927,8562,6323,5372,2264,3779,7558,6346,6017,9712,5107,5503,9298,6090,1166310
Lineups,-1628378-1628386-1629622-1629636-1630596-,D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,1610612739,CLE,28,18,10,0.643,368.0,113.0,112.7,110.5,111.3,2.5,1.4,0.649,1.99,20.7,0.272,0.728,0.507,0.147,0.571,0.596,101.2,100.95,84.12,777,0.523,32,28,15824,5936,17,6300,8675,6594,6572,3555,4736,6289,7267,6072,10241,6023,6538,10106,6765,1103385
Lineups,-203471-1627751-1627783-1628384-1630567-,D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - S. Barnes,1610612761,TOR,27,11,16,0.407,366.0,112.6,112.5,113.8,113.4,-1.1,-0.9,0.697,2.37,21.8,0.256,0.755,0.511,0.131,0.561,0.583,100.6,100.85,84.04,770,0.51,35,99,15888,7958,18,6416,8945,8339,5317,2163,4276,6422,6342,6026,9426,6236,6868,10146,7006,1099455
Lineups,-203915-1627827-1628969-1629651-1629661-,S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,1610612751,BKN,27,10,17,0.37,313.0,114.1,113.9,107.5,106.9,6.6,7.0,0.647,2.49,18.7,0.3,0.745,0.514,0.107,0.523,0.553,96.4,96.76,80.63,625,0.523,35,128,15890,8118,19,6198,8132,6213,6576,2095,6269,5866,7140,5990,8279,6970,7670,11924,6761,939815
Lineups,-201143-201950-1627759-1628369-1628401-,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,1610612738,BOS,32,27,5,0.844,311.0,120.8,118.5,115.3,115.8,5.4,2.7,0.665,2.69,20.3,0.195,0.742,0.477,0.103,0.595,0.627,101.2,102.01,85.01,661,0.525,26,11,15354,4877,20,5595,9250,6518,6508,1797,4855,8051,7152,8640,8157,5451,5580,9554,6724,931650
